Filename,Male prediction,Young prediction,Smile prediction,Time,Male,Young,Smiling
182643.jpg,0.99999607,0.99484026,0.001525721,2.705699997022748,1,1,0
182648.jpg,0.9996978,0.28870326,0.0113544045,2.520499998354353,1,1,0
182686.jpg,0.99999994,0.62388337,0.99952555,2.529499994125217,1,1,1
182753.jpg,0.999999,0.94681513,0.95240015,2.6021999947261065,1,1,1
182797.jpg,0.9999995,0.19676745,0.99476403,2.7011999918613583,1,1,1
182918.jpg,0.9909154,0.62305707,0.9359367,2.5894999998854473,1,0,1
182967.jpg,1.0,0.00025099146,0.006862813,2.5250000035157427,1,0,0
182968.jpg,0.9999985,0.0039702347,0.92479324,2.552500009187497,1,0,1
182986.jpg,0.99999946,0.30764958,0.9939686,2.5242999981855974,1,0,1
182988.jpg,0.99999946,0.031838253,0.014129029,2.7621000044746324,1,0,0
183309.jpg,0.8653841,0.26202583,0.99422836,2.545000010286458,0,1,1
183346.jpg,1.4152578e-10,0.9312634,0.9941847,2.5587999989511445,0,1,1
183405.jpg,8.990198e-07,0.1991074,0.9975582,2.5173000030918047,0,1,1
183426.jpg,2.8888087e-08,0.99932766,0.38891432,2.540799992857501,0,1,0
183434.jpg,1.1106812e-05,0.9948264,0.040621508,2.5405999913346022,0,1,0
183512.jpg,6.9511515e-08,0.06659373,0.99986607,2.4788000009721145,0,0,1
183534.jpg,0.000692284,0.12590384,0.9408384,2.4991999962367117,0,0,1
183566.jpg,0.9591854,0.26807535,8.852153e-05,2.467300000716932,0,1,0
183578.jpg,0.0007384754,0.18410401,0.99889314,2.6493000041227788,0,0,1
183603.jpg,0.00017224753,0.11345653,0.0959388,2.475899993441999,0,0,0
