Filename,Male prediction,Young prediction,Smile prediction,Time,Male,Young,Smiling
182643.jpg,0.9999959,0.994732,0.001539573,2.582999994046986,1,1,0
182648.jpg,0.9996922,0.2821056,0.011313407,2.4893000081647187,1,1,0
182686.jpg,0.99999994,0.61907154,0.9995209,2.60540000454057,1,1,1
182753.jpg,0.999999,0.9474609,0.95234406,2.4615000002086163,1,1,1
182797.jpg,0.9999995,0.19938077,0.994998,2.4410000041825697,1,1,1
182918.jpg,0.9905931,0.62611055,0.93636453,2.4560000019846484,1,0,1
182967.jpg,1.0,0.00025305068,0.0067013274,2.4511999945389107,1,0,0
182968.jpg,0.99999857,0.004023095,0.9231289,2.639199999975972,1,0,1
182986.jpg,0.99999946,0.30552632,0.9938138,2.5200000090990216,1,0,1
182988.jpg,0.9999994,0.031269625,0.013308771,2.516799999284558,1,0,0
183309.jpg,0.86570024,0.26240245,0.9942917,2.478599999449216,0,1,1
183346.jpg,1.3951244e-10,0.9324733,0.9942871,2.4436999956378713,0,1,1
183405.jpg,8.9340796e-07,0.20128661,0.99753237,2.601100000902079,0,1,1
183426.jpg,2.8567653e-08,0.99931914,0.3895084,2.4747999996179715,0,1,0
183434.jpg,1.0632154e-05,0.9950124,0.039549746,2.4593000125605613,0,1,0
183512.jpg,6.674614e-08,0.06729945,0.9998729,2.4444000009680167,0,0,1
183534.jpg,0.00068670954,0.12525426,0.93965626,2.440199998090975,0,0,1
183566.jpg,0.95991004,0.26560745,8.685879e-05,2.605199988465756,0,1,0
183578.jpg,0.00074403314,0.18780246,0.99888766,2.4511999945389107,0,0,1
183603.jpg,0.00017646559,0.112624355,0.09217621,2.4699000059626997,0,0,0
